member_casual,start_station_name,end_station_name,ride_count
casual,Streeter Dr & Grand Ave,Streeter Dr & Grand Ave,8396
casual,DuSable Lake Shore Dr & Monroe St,DuSable Lake Shore Dr & Monroe St,6868
member,State St & 33rd St,Calumet Ave & 33rd St,5476
member,Calumet Ave & 33rd St,State St & 33rd St,5441
casual,DuSable Lake Shore Dr & Monroe St,Streeter Dr & Grand Ave,5234
casual,Michigan Ave & Oak St,Michigan Ave & Oak St,4445
member,Ellis Ave & 60th St,University Ave & 57th St,3928
member,Ellis Ave & 60th St,Ellis Ave & 55th St,3739
member,University Ave & 57th St,Ellis Ave & 60th St,3614
member,Ellis Ave & 55th St,Ellis Ave & 60th St,3565
